Molecule, Pseudoknot Order, Execution Time [ns]
CRW_16S_E_F_223_nH, 1, 18821960
CRW_16S_E_F_227_nH, 1, 17006396
CRW_16S_E_F_238_nH, 1, 17776599
CRW_16S_E_F_239_nH, 1, 19498987
CRW_16S_E_F_240_nH, 1, 19117882
CRW_16S_E_F_244_nH, 1, 17327547
CRW_16S_E_F_246_nH, 1, 17245745
CRW_16S_E_F_247_nH, 1, 22060233
CRW_16S_E_F_248_nH, 1, 20637573
CRW_16S_E_F_253_nH, 1, 18334329
CRW_16S_E_F_256_nH, 1, 22970366
CRW_16S_E_F_265_nH, 1, 17396124
CRW_16S_E_F_269_nH, 1, 25035446
CRW_16S_E_F_270_nH, 1, 17291009
CRW_16S_E_F_271_nH, 1, 17974750
CRW_16S_E_F_273_nH, 1, 17626481
CRW_16S_E_F_274_nH, 1, 18419951
CRW_16S_E_F_282_nH, 1, 22156849
CRW_16S_E_F_284_nH, 1, 24030421
CRW_16S_E_F_285_nH, 1, 21738488
CRW_16S_E_F_286_nH, 1, 21275774
CRW_16S_E_F_287_nH, 1, 17851049
CRW_16S_E_F_288_nH, 1, 18711053
CRW_16S_E_F_289_nH, 1, 26078346
CRW_16S_E_F_291_nH, 1, 24113215
CRW_16S_E_F_292_nH, 1, 19294042
CRW_16S_E_F_294_nH, 1, 21009502
CRW_16S_E_F_295_nH, 1, 79063158
CRW_16S_E_F_297_nH, 1, 17629687
CRW_16S_E_F_302_nH, 1, 17649000
CRW_16S_E_F_303_nH, 1, 29390858
CRW_16S_E_F_311_nH, 1, 20099535
CRW_16S_E_F_323_nH, 1, 18680179
CRW_16S_E_F_325_nH, 1, 17288489
CRW_16S_E_F_330_nH, 1, 30674765
CRW_16S_E_F_331_nH, 1, 20085392
CRW_16S_E_F_332_nH, 1, 16441027
CRW_16S_E_F_337_nH, 1, 21461677
CRW_16S_E_F_342_nH, 1, 19378520
CRW_16S_E_F_347_nH, 1, 17395716
CRW_16S_E_F_356_nH, 1, 16090352
CRW_16S_E_F_372_nH, 1, 17861835
CRW_16S_E_F_375_nH, 1, 18093460
CRW_16S_E_F_385_nH, 1, 24992933
CRW_16S_E_F_386_nH, 1, 17431256
CRW_16S_E_F_387_nH, 1, 22683049
CRW_16S_E_F_388_nH, 1, 17790643
CRW_16S_E_F_389_nH, 1, 18611321
CRW_16S_E_F_390_nH, 1, 18781397
CRW_16S_E_G_15_nH, 1, 9495463
CRW_16S_E_G_16_nH, 1, 10539422
CRW_16S_E_G_200_nH, 1, 18368956
CRW_16S_E_G_235_nH, 1, 23295270
CRW_16S_E_G_236_nH, 1, 19490808
CRW_16S_E_G_9_nH, 3, 18802492
CRW_16S_E_H_13_nH, 1, 10805181
CRW_16S_E_H_277_nH, 1, 18876801
CRW_16S_E_H_278_nH, 1, 21070719
CRW_16S_E_J_255_nH, 1, 19114914
CRW_16S_E_M_100_nH, 1, 19454268
CRW_16S_E_M_102_nH, 1, 11909450
CRW_16S_E_M_103_nH, 1, 9386651
CRW_16S_E_M_110_nH, 1, 9559188
CRW_16S_E_M_113_nH, 1, 10729677
CRW_16S_E_M_114_nH, 1, 19184509
CRW_16S_E_M_117_nH, 1, 10726390
CRW_16S_E_M_120_nH, 1, 9586623
CRW_16S_E_M_123_nH, 1, 23687873
CRW_16S_E_M_128_nH, 1, 20270428
CRW_16S_E_M_130_nH, 1, 20538964
CRW_16S_E_M_146_nH, 1, 9921214
CRW_16S_E_M_152_nH, 1, 9719344
CRW_16S_E_M_210_nH, 1, 19259676
CRW_16S_E_M_211_nH, 1, 12489485
CRW_16S_E_M_251_nH, 1, 24207347
CRW_16S_E_M_272_nH, 1, 17519249
CRW_16S_E_M_275_nH, 1, 23627976
CRW_16S_E_M_276_nH, 1, 14489072
CRW_16S_E_M_299_nH, 1, 9712216
CRW_16S_E_M_304_nH, 1, 18463313
CRW_16S_E_M_316_nH, 1, 10765096
CRW_16S_E_M_339_nH, 1, 17892617
CRW_16S_E_M_376_nH, 1, 17481041
CRW_16S_E_M_392_nH, 1, 26392067
CRW_16S_E_M_393_nH, 1, 17719622
CRW_16S_E_M_40_nH, 1, 19609811
CRW_16S_E_M_41_nH, 1, 11729094
CRW_16S_E_M_43_nH, 1, 9233609
CRW_16S_E_M_45_nH, 1, 9544025
CRW_16S_E_M_49_nH, 1, 20707957
CRW_16S_E_M_50_nH, 1, 17522452
CRW_16S_E_M_56_nH, 1, 9226582
CRW_16S_E_M_60_nH, 1, 8713294
CRW_16S_E_M_61_nH, 1, 20347672
CRW_16S_E_M_64_nH, 1, 13642881
CRW_16S_E_M_68_nH, 1, 18523962
CRW_16S_E_M_69_nH, 1, 9241685
CRW_16S_E_M_71_nH, 1, 18098072
CRW_16S_E_M_75_nH, 1, 23475380
CRW_16S_E_M_76_nH, 1, 23993123
CRW_16S_E_M_86_nH, 1, 21561930
CRW_16S_E_M_87_nH, 1, 11241082
CRW_16S_E_M_88_nH, 1, 19625664
CRW_16S_E_M_89_nH, 1, 9866562
CRW_16S_E_M_95_nH, 1, 20182297
CRW_16S_E_M_97_nH, 1, 9532991
CRW_16S_E_M_98_nH, 1, 18762227
CRW_16S_E_R_136_nH, 1, 17996818
CRW_16S_E_R_155_nH, 1, 25575634
CRW_16S_E_R_156_nH, 1, 18474484
CRW_16S_E_R_173_nH, 1, 26921028
CRW_16S_E_R_174_nH, 1, 19145203
CRW_16S_E_R_175_nH, 1, 18587941
CRW_16S_E_R_176_nH, 1, 18054413
CRW_16S_E_R_177_nH, 1, 21292224
CRW_16S_E_R_184_nH, 1, 17276249
CRW_16S_E_R_185_nH, 1, 18721095
CRW_16S_E_R_189_nH, 1, 17290925
CRW_16S_E_R_191_nH, 1, 19942306
CRW_16S_E_R_194_nH, 1, 19096849
CRW_16S_E_R_224_nH, 1, 20055639
CRW_16S_E_R_22_nH, 1, 17474710
CRW_16S_E_R_230_nH, 1, 17581664
CRW_16S_E_R_242_nH, 1, 18879804
CRW_16S_E_R_245_nH, 1, 18414732
CRW_16S_E_R_250_nH, 1, 17604370
CRW_16S_E_R_279_nH, 1, 17802250
CRW_16S_E_R_280_nH, 1, 17728788
CRW_16S_E_R_281_nH, 1, 20389412
CRW_16S_E_R_309_nH, 1, 19730938
CRW_16S_E_R_329_nH, 1, 37187915
CRW_16S_E_R_344_nH, 1, 23675971
CRW_16S_E_R_345_nH, 1, 26673897
CRW_16S_E_R_346_nH, 1, 20773217
CRW_16S_E_R_368_nH, 1, 21986567
CRW_16S_E_R_369_nH, 1, 22104364
CRW_16S_E_R_370_nH, 1, 20955393
CRW_16S_E_R_371_nH, 1, 17712515
CRW_16S_E_R_52_nH, 1, 10046430
CRW_16S_E_R_8_nH, 1, 20680119
CRW_16S_E_Rh_183_nH, 1, 20214539
CRW_16S_E_Rh_226_nH, 1, 18745265
CRW_16S_E_Rh_316_nH, 1, 19028837
CRW_16S_E_S_112_nH, 1, 9674064
CRW_16S_E_S_135_nH, 1, 19833179
CRW_16S_E_S_145_nH, 1, 17356850
CRW_16S_E_S_149_nH, 1, 24257096
CRW_16S_E_S_158_nH, 1, 17879714
CRW_16S_E_S_181_nH, 1, 23913359
CRW_16S_E_S_182_nH, 1, 18992052
CRW_16S_E_S_190_nH, 1, 17949293
CRW_16S_E_S_195_nH, 1, 20600997
CRW_16S_E_S_201_nH, 1, 21410819
CRW_16S_E_S_216_nH, 1, 107417019
CRW_16S_E_S_257_nH, 1, 18401648
CRW_16S_E_S_258_nH, 1, 17859563
CRW_16S_E_S_261_nH, 1, 19463474
CRW_16S_E_S_263_nH, 1, 23878133
CRW_16S_E_S_264_nH, 1, 17531049
CRW_16S_E_S_267_nH, 1, 23504019
CRW_16S_E_S_31_nH, 1, 18979030
CRW_16S_E_S_327_nH, 1, 18567405
CRW_16S_E_S_333_nH, 1, 22690433
CRW_16S_E_S_336_nH, 1, 18814088
CRW_16S_E_S_349_nH, 1, 17646255
CRW_16S_E_S_352_nH, 1, 20395584
CRW_16S_E_S_358_nH, 1, 17743527
CRW_16S_E_S_363_nH, 1, 18589124
CRW_16S_E_S_364_nH, 1, 19638249
CRW_16S_E_S_366_nH, 1, 21470003
CRW_16S_E_S_373_nH, 1, 18190596
CRW_16S_E_V_105_nH, 1, 10363711
CRW_16S_E_V_111_nH, 1, 10719803
CRW_16S_E_V_11_nH, 1, 11529076
CRW_16S_E_V_121_nH, 1, 9948320
CRW_16S_E_V_126_nH, 1, 10970752
CRW_16S_E_V_12_nH, 1, 11346402
CRW_16S_E_V_132_nH, 1, 17792032
CRW_16S_E_V_147_nH, 1, 23565994
CRW_16S_E_V_150_nH, 1, 17853171
CRW_16S_E_V_151_nH, 1, 22439556
CRW_16S_E_V_18_nH, 1, 19960624
CRW_16S_E_V_19_nH, 1, 18233764
CRW_16S_E_V_20_nH, 1, 21113898
CRW_16S_E_V_21_nH, 1, 20668459
CRW_16S_E_V_228_nH, 1, 19645783
CRW_16S_E_V_231_nH, 1, 17658556
CRW_16S_E_V_23_nH, 1, 19084703
CRW_16S_E_V_241_nH, 1, 21208154
CRW_16S_E_V_24_nH, 1, 18032603
CRW_16S_E_V_283_nH, 1, 21760784
CRW_16S_E_V_2_nH, 1, 18168464
CRW_16S_E_V_305_nH, 1, 16753827
CRW_16S_E_V_317_nH, 1, 28347596
CRW_16S_E_V_32_nH, 1, 16891911
CRW_16S_E_V_33_nH, 1, 21787316
CRW_16S_E_V_350_nH, 1, 17637051
CRW_16S_E_V_351_nH, 1, 19715151
CRW_16S_E_V_35_nH, 1, 17983689
CRW_16S_E_V_37_nH, 1, 17474775
CRW_16S_E_V_4_nH, 1, 16519711
CRW_16S_E_V_51_nH, 1, 9921024
CRW_16S_E_V_6_nH, 1, 21003817
CRW_16S_E_V_70_nH, 1, 9779710
CRW_16S_E_V_91_nH, 1, 16439209
CRW_16S_E_V_96_nH, 1, 9643015
