Molecule, genus
CRW_16S_B_P_11, 4
CRW_16S_B_P_122, 4
CRW_16S_B_P_123, 1
CRW_16S_B_P_124, 1
CRW_16S_B_P_125, 1
CRW_16S_B_P_127, 4
CRW_16S_B_P_128, 1
CRW_16S_B_P_133, 4
CRW_16S_B_P_137, 4
CRW_16S_B_P_138, 4
CRW_16S_B_P_139, 4
CRW_16S_B_P_140, 4
CRW_16S_B_P_141, 4
CRW_16S_B_P_142, 4
CRW_16S_B_P_143, 4
CRW_16S_B_P_144, 4
CRW_16S_B_P_146, 4
CRW_16S_B_P_147, 4
CRW_16S_B_P_148, 4
CRW_16S_B_P_149, 4
CRW_16S_B_P_150, 4
CRW_16S_B_P_151, 4
CRW_16S_B_P_153, 1
CRW_16S_B_P_154, 1
CRW_16S_B_P_18, 4
CRW_16S_B_P_20, 3
CRW_16S_B_P_21, 4
CRW_16S_B_P_223, 1
CRW_16S_B_P_224, 1
CRW_16S_B_P_225, 1
CRW_16S_B_P_226, 1
CRW_16S_B_P_227, 1
CRW_16S_B_P_228, 4
CRW_16S_B_P_229, 4
CRW_16S_B_P_230, 1
CRW_16S_B_P_231, 4
CRW_16S_B_P_232, 1
CRW_16S_B_P_233, 4
CRW_16S_B_P_23, 4
CRW_16S_B_P_24, 4
CRW_16S_B_P_25, 4
CRW_16S_B_P_2, 4
CRW_16S_B_P_30, 4
CRW_16S_B_P_32, 3
CRW_16S_B_P_33, 4
CRW_16S_B_P_34, 1
CRW_16S_B_P_35, 4
CRW_16S_B_P_36, 4
CRW_16S_B_P_37, 3
CRW_16S_B_P_47, 4
CRW_16S_B_P_48, 4
CRW_16S_B_P_4, 4
CRW_16S_B_P_54, 1
CRW_16S_B_P_56, 1
CRW_16S_B_P_5, 3
CRW_16S_B_P_60, 4
CRW_16S_B_P_61, 4
CRW_16S_B_P_62, 4
CRW_16S_B_P_67, 4
CRW_16S_B_P_6, 4
CRW_16S_B_P_71, 4
CRW_16S_B_P_72, 4
CRW_16S_B_P_74, 4
CRW_16S_B_P_80, 4
CRW_16S_B_P_81, 1
CRW_16S_B_P_82, 1
CRW_16S_B_P_83, 1
CRW_16S_B_P_84, 1
CRW_16S_B_P_85, 1
CRW_16S_B_P_86, 4
CRW_16S_B_P_87, 4
CRW_16S_B_P_89, 4
CRW_16S_B_P_94, 4
CRW_16S_B_P_97, 1
CRW_16S_B_P_98, 1
CRW_16S_B_Pl_130, 4
CRW_16S_B_Pl_78, 4
CRW_16S_B_Pl_93, 4
CRW_16S_B_S_100, 3
CRW_16S_B_S_155, 4
CRW_16S_B_S_220, 4
CRW_16S_B_S_26, 4
CRW_16S_B_S_27, 4
CRW_16S_B_S_28, 4
CRW_16S_B_S_29, 3
CRW_16S_B_S_31, 4
CRW_16S_B_S_99, 3
CRW_16S_B_Te_115, 4
CRW_16S_B_Te_116, 4
CRW_16S_B_Te_117, 4
CRW_16S_B_Te_118, 4
CRW_16S_B_Te_119, 4
CRW_16S_B_Te_120, 4
CRW_16S_B_Te_121, 4
CRW_16S_B_Te_221, 4
CRW_16S_B_Te_222, 4
CRW_16S_B_The_129, 3
CRW_16S_B_The_211, 4
CRW_16S_B_The_212, 4
CRW_16S_B_The_79, 3
