Molecule, genus
CRW_16S_E_F_294, 3
CRW_16S_E_F_295, 3
CRW_16S_E_F_297, 3
CRW_16S_E_F_302, 3
CRW_16S_E_F_303, 3
CRW_16S_E_F_311, 3
CRW_16S_E_F_323, 3
CRW_16S_E_F_325, 3
CRW_16S_E_F_330, 3
CRW_16S_E_F_331, 3
CRW_16S_E_F_332, 3
CRW_16S_E_F_337, 3
CRW_16S_E_F_342, 3
CRW_16S_E_F_347, 3
CRW_16S_E_F_356, 2
CRW_16S_E_F_372, 3
CRW_16S_E_F_375, 3
CRW_16S_E_F_385, 3
CRW_16S_E_F_386, 3
CRW_16S_E_F_387, 3
CRW_16S_E_F_388, 3
CRW_16S_E_F_389, 3
CRW_16S_E_F_390, 3
CRW_16S_E_G_15, 1
CRW_16S_E_G_16, 1
CRW_16S_E_G_200, 3
CRW_16S_E_G_235, 3
CRW_16S_E_G_236, 3
CRW_16S_E_G_9, 4
CRW_16S_E_H_13, 1
CRW_16S_E_H_277, 3
CRW_16S_E_H_278, 3
CRW_16S_E_J_255, 3
CRW_16S_E_M_100, 3
CRW_16S_E_M_102, 1
CRW_16S_E_M_103, 1
CRW_16S_E_M_110, 1
CRW_16S_E_M_113, 1
CRW_16S_E_M_114, 3
CRW_16S_E_M_117, 1
CRW_16S_E_M_120, 1
CRW_16S_E_M_123, 3
CRW_16S_E_M_128, 3
CRW_16S_E_M_130, 3
CRW_16S_E_M_146, 1
CRW_16S_E_M_152, 1
CRW_16S_E_M_210, 3
CRW_16S_E_M_211, 1
CRW_16S_E_M_251, 3
CRW_16S_E_M_272, 3
CRW_16S_E_M_275, 3
CRW_16S_E_M_276, 1
CRW_16S_E_M_299, 1
CRW_16S_E_M_304, 3
CRW_16S_E_M_316, 1
CRW_16S_E_M_339, 3
CRW_16S_E_M_376, 3
CRW_16S_E_M_392, 3
CRW_16S_E_M_393, 3
CRW_16S_E_M_40, 3
CRW_16S_E_M_41, 1
CRW_16S_E_M_43, 1
CRW_16S_E_M_45, 1
CRW_16S_E_M_49, 3
CRW_16S_E_M_50, 3
CRW_16S_E_M_56, 1
CRW_16S_E_M_60, 1
CRW_16S_E_M_61, 3
CRW_16S_E_M_64, 2
CRW_16S_E_M_68, 3
CRW_16S_E_M_69, 1
CRW_16S_E_M_71, 3
CRW_16S_E_M_75, 3
CRW_16S_E_M_76, 3
CRW_16S_E_M_86, 3
CRW_16S_E_M_87, 1
CRW_16S_E_M_88, 3
CRW_16S_E_M_89, 1
CRW_16S_E_M_95, 3
CRW_16S_E_M_97, 1
CRW_16S_E_M_98, 3
CRW_16S_E_R_136, 3
CRW_16S_E_R_155, 3
CRW_16S_E_R_156, 3
CRW_16S_E_R_173, 3
CRW_16S_E_R_174, 3
CRW_16S_E_R_175, 3
CRW_16S_E_R_176, 3
CRW_16S_E_R_177, 3
CRW_16S_E_R_184, 3
CRW_16S_E_R_185, 3
CRW_16S_E_R_189, 3
CRW_16S_E_R_191, 3
CRW_16S_E_R_194, 3
CRW_16S_E_R_224, 3
CRW_16S_E_R_22, 3
CRW_16S_E_R_230, 3
CRW_16S_E_R_242, 3
CRW_16S_E_R_245, 3
CRW_16S_E_R_250, 3
CRW_16S_E_R_279, 3
CRW_16S_E_R_280, 3
CRW_16S_E_R_281, 3
CRW_16S_E_R_329, 4
CRW_16S_E_R_344, 3
CRW_16S_E_R_345, 3
CRW_16S_E_R_346, 3
CRW_16S_E_R_368, 3
CRW_16S_E_R_369, 3
CRW_16S_E_R_370, 3
CRW_16S_E_R_371, 3
CRW_16S_E_R_52, 1
CRW_16S_E_R_8, 3
CRW_16S_E_Rh_226, 3
CRW_16S_E_Rh_316, 3
CRW_16S_E_S_112, 1
CRW_16S_E_S_135, 3
CRW_16S_E_S_145, 3
CRW_16S_E_S_149, 3
CRW_16S_E_S_158, 3
CRW_16S_E_S_182, 3
CRW_16S_E_S_190, 3
CRW_16S_E_S_195, 3
CRW_16S_E_S_201, 3
CRW_16S_E_S_216, 3
CRW_16S_E_S_257, 3
CRW_16S_E_S_258, 3
CRW_16S_E_S_261, 3
CRW_16S_E_S_263, 3
CRW_16S_E_S_264, 3
CRW_16S_E_S_267, 3
CRW_16S_E_S_31, 3
CRW_16S_E_S_327, 3
CRW_16S_E_S_333, 3
CRW_16S_E_S_349, 3
CRW_16S_E_S_352, 3
CRW_16S_E_S_358, 3
CRW_16S_E_S_363, 3
CRW_16S_E_S_364, 3
CRW_16S_E_S_366, 3
CRW_16S_E_V_105, 1
CRW_16S_E_V_111, 1
CRW_16S_E_V_11, 1
CRW_16S_E_V_121, 1
CRW_16S_E_V_126, 1
CRW_16S_E_V_12, 1
CRW_16S_E_V_132, 3
CRW_16S_E_V_147, 3
CRW_16S_E_V_150, 3
CRW_16S_E_V_151, 3
CRW_16S_E_V_18, 3
CRW_16S_E_V_19, 3
CRW_16S_E_V_20, 3
CRW_16S_E_V_21, 3
CRW_16S_E_V_228, 3
CRW_16S_E_V_231, 3
CRW_16S_E_V_23, 3
CRW_16S_E_V_241, 3
CRW_16S_E_V_24, 3
CRW_16S_E_V_283, 3
CRW_16S_E_V_2, 3
CRW_16S_E_V_305, 3
CRW_16S_E_V_317, 3
CRW_16S_E_V_32, 3
CRW_16S_E_V_33, 3
CRW_16S_E_V_350, 3
CRW_16S_E_V_351, 3
CRW_16S_E_V_35, 3
CRW_16S_E_V_37, 3
CRW_16S_E_V_4, 3
CRW_16S_E_V_51, 1
CRW_16S_E_V_6, 3
CRW_16S_E_V_70, 1
CRW_16S_E_V_91, 2
CRW_16S_E_V_96, 1
